AllowedKey,SolverLabel
abaqus,Abaqus
abaqus_aws,Abaqus
abaqus_cx,Abaqus
abaqus_cx_pac,Abaqus
abaqus_dlodb,Abaqus
abaqus_express,Abaqus
abaqus_express_pac,Abaqus
abaqus_extreme_l1_pac,Abaqus
abaqus_extreme_lx_pac,Abaqus
abaqus_l1,Abaqus
abaqus_l1_pac,Abaqus
abaqus_l1_test,Abaqus
abaqus_l1_test_pac,Abaqus
abaqus_LX,Abaqus
abaqus_lx_pac,Abaqus
abaqus_LX_test,Abaqus
abaqus_lx_test_pac,Abaqus
abaqus_normal,Abaqus
abaqus_qs,Abaqus
mdo_prod_abaqus,Abaqus
actran,Actran
actran_aws,Actran
actran_qs,Actran
actran_sonate,Actran
actran_sonate_w,Actran
actran_sonate_wk,Actran
adams,Adams
amesim,Amesim
amesim_aws,Amesim
ansa,Ansa
ansa_aws,Ansa
ansabatch_aws,Ansa
ansa_pp,Ansa
ansysem,Ansys
autoform,Autoform
bmstamp,BMstamp
carmaker_aws,CarMaker
carmaker,CarMaker
converge_aws,Converge
converge,Converge
converge_pp,Converge
cotherm,Cotherm
designlife_aws,Designlife
designlife,Designlife
designlife_qs,Designlife
ensight_aws,Ensight
ensight_batch,Ensight
ensight,Ensight
ensight_pp,Ensight
ensightt_pp,Ensight
exa_be,Exa
exadisc,Exa
exa,Exa
exa_pp,Exa
exasim,Exa
excite_aws,Excite
excite,Excite
excite_python,Excite
excite_qs,Excite
falancs_normal,Falancs
feko_aws,Feko
feko,Feko
femfat_aws,FEMFAT
femfat,FEMFAT
fire,Fire
flow3d,Flow3D
flow3dh64_aws,Flow3D
flow3dh64,Flow3D
flow3dsmp_aws,Flow3D
flow3dsmp,Flow3D
fluent_aws,Fluent
fluent,Fluent
fluent_mono,Fluent
fluent_test,Fluent
forge_aws,Forge
forge,Forge
forge_l,Forge
gtpower7,GTPower
gtpower_aws,GTPower
gtpower,GTPower
gtsuite,GTPower
dyna_normal,LSDyna
lsdyna_aws,LSDyna
lsdyna_express,LSDyna
lsdyna,LSDyna
lsdyna_qs,LSDyna
mppdyna3d,LSDyna
madymofem,Madymo
madymo,Madymo
matlab_aws16,MATLAB
matlab_aws8,MATLAB
matlab_aws,MATLAB
matlab_big,MATLAB
matlablarge_aws,MATLAB
matlablarge,MATLAB
matlab,MATLAB
matlab_small,MATLAB
matlabam_aws,MATLAB_Amesim
matlabcm_aws,MATLAB_CarMaker
matlabgt_aws,MATLAB_GTPower
mesh_aws,Meshing
meshing,Meshing
mesh_qs,Meshing
meta,Meta
moldflow,Moldflow
motionsolve,Motionsolve
long_amls,Nastran
long_n,Nastran
long_sol400,Nastran
long_xl,Nastran
mdo_nastran,Nastran
nastran_amls_aw,Nastran
nastran_amls_aws,Nastran
nastran_amls,Nastran
nastran_aws,Nastran
nastran_dmp,Nastran
nastran_extrem,Nastran
nastran,Nastran
nastran_normal,Nastran
nastran_qs,Nastran
nastran_sol400_aws,Nastran
nastran_sol400,Nastran
ncode_aws,Ncode
ncode,Ncode
ncode_normal,Ncode
ncode_qs,Ncode
openfoam_aws,OpenFoam
openfoam,OpenFoam
openfoam_qs,OpenFoam
optistruct_aws,Optistruct
optistruct,Optistruct
optistruct_qs,Optistruct
other,Other
pamstamp,PamStamp
pamstamp_qck,PamStamp
paraview_pp,Paraview
paraview_qs,Paraview
pow_dec_full_gpu,PowerFlow
pow_dec_full,PowerFlow
powerflow_be,PowerFlow
powerflow_big_qs,PowerFlow
powerflow,PowerFlow
powerflow_qs,PowerFlow
preonlab_aws,PreonLab
preonlab,PreonLab
python,Python
quikcast_aws,Quikcast
quikcast,Quikcast
radioss_aws,Radioss
radioss_engine_optim,Radioss
radioss_engine,Radioss
radioss,Radioss
radioss_starter,Radioss
raytracing_aws,RayTracing
raytracing,RayTracing
rgs_184GB,RGS
rgs_184GB_week,RGS
rgs_368GB,RGS
rgs_368GB_week,RGS
rgs,RGS
saber_aws,Saber
saber,Saber
simdrive3d,Simdrive3D
singularity,Singularity
speos,Speos
ccmp,StarCCMP
ccmp_pp,StarCCMP
starccm_aws,StarCCMP
starccmp_aws,StarCCMP
starccmp,StarCCMP
starccm_qs,StarCCMP
starccm+,StarCCMP
starccm,StarCCMP
starccm_test,StarCCMP
sysweld_aws,Sysweld
sysweld,Sysweld
taitherm_aws,TaiTherm
taitherm_pp,TaiTherm
taitherm,TaiTherm
thercast_aws,Thercast
thercast,Thercast
ftp,Transfer
gftpc,Transfer
gftpl,Transfer
gftp,Transfer
gtrf_pl,Transfer
lftp,Transfer
pftpc,Transfer
pftpl,Transfer
transfer_aws,Transfer
transfer_jobs,Transfer
transfer_op,Transfer
transfer,Transfer
xtrf_av,Transfer
xtrf_ca,Transfer
xtrf_ch,Transfer
xtrf_ci,Transfer
xtrf_cs,Transfer
xtrf_dm_ee,Transfer
xtrf_dm_py,Transfer
xtrf_dv,Transfer
xtrf_eb,Transfer
xtrf_ee,Transfer
xtrf_ig,Transfer
xtrf_in,Transfer
xtrf_it,Transfer
xtrf_lg,Transfer
xtrf_mu,Transfer
xtrf_my,Transfer
xtrf_pe,Transfer
xtrf_pl,Transfer
xtrf_pr,Transfer
xtrf_py,Transfer
xtrf_rj,Transfer
xtrf_rx,Transfer
xtrf_s4,Transfer
xtrf_sf,Transfer
xtrf_sn,Transfer
xtrf_so,Transfer
xtrf_sx,Transfer
xtrf,Transfer
xtrf_va,Transfer
xtrf_vf,Transfer
xtrf_vk,Transfer
xtrf_vv_aws,Transfer
xtrf_vv,Transfer
xtrf_vy,Transfer
xtrf_vz,Transfer
compute_express,Undefined
compute,Undefined
extreme_l1,Undefined
maintenance,Undefined
_pbs_project_default,Undefined
priority_jobs,Undefined
safety_doe,Undefined
safety_express,Undefined
safety,Undefined
surveillance,Undefined
windows_preprod,Undefined
windows,Undefined
valley,Valley
vaone,Vaone
vtta,VITA
